seed,gamma,low,high,time_scale,plant,severity,method,tracking,steering_rms,peak_rate,feasible,worst_family
21,0,10,30,2,beta_noacc,near_linear,M2,0.00651300616373993,0.37600891532873604,0.5151916840440816,1.0,0.006655508636939764
21,0,10,30,2,beta_noacc,near_linear,M3,0.003385472707456861,0.37596401310114963,0.5155528080678659,1.0,0.0034926487552841166
21,0,10,30,2,beta_noacc,near_linear,M4,0.0033606852275543256,0.37596404801680594,0.5155646592745569,1.0,0.0035126030496978465
21,0,10,30,2,beta_noacc,strong,M1,0.020300421235778944,1.1507038323836596,1.5541331245609338,1.0,0.02088554606079983
21,0,10,30,2,beta_noacc,strong,M2,0.020252740299317874,1.150703591861512,1.5541779037154488,1.0,0.020733054871417213
21,0,10,30,2,beta_noacc,strong,M3,0.011671504298846972,1.150495145571337,1.5549621246691794,1.0,0.012124082946446778
21,0,10,30,2,beta_noacc,strong,M4,0.011603604335526985,1.1504951954997227,1.5549971127120066,1.0,0.012175221164152357
21,0,10,30,2,legacy,moderate,M1,0.013161768229767537,0.757229682098472,1.032427122121236,1.0,0.013540726234697103
21,0,10,30,2,legacy,moderate,M2,0.013134588661657797,0.7572295929838257,1.0324575336352275,1.0,0.01343128561333017
21,0,10,30,2,legacy,moderate,M3,0.007053483703701858,0.757125416653563,1.0331137878812389,1.0,0.007301203773265887
21,0,10,30,2,legacy,moderate,M4,0.007005030450712467,0.757125469582109,1.0331375892905783,1.0,0.00733795428252291
21,0,10,30,2,legacy,near_linear,M1,0.006525684215372851,0.3760085297998351,0.5151825192213,1.0,0.006711965537009617
21,0,10,30,2,legacy,near_linear,M2,0.006513229950577564,0.3760085042181064,0.5151979611696657,1.0,0.006655773457842177
21,0,10,30,2,legacy,near_linear,M3,0.003384975070907869,0.375963476584674,0.5155580418955786,1.0,0.0034920535308920267
21,0,10,30,2,legacy,near_linear,M4,0.003360178477391683,0.37596351148806234,0.5155698781656296,1.0,0.00351203539461503
21,0,10,30,2,legacy,strong,M1,0.020301338074549542,1.1507017526249976,1.5541458136950526,1.0,0.020886635473995753
21,0,10,30,2,legacy,strong,M2,0.02025363632916551,1.1507015120499344,1.5541905235740654,1.0,0.02073409869524476
21,0,10,30,2,legacy,strong,M3,0.011670364428924171,1.1504927474083384,1.5549714685585414,1.0,0.012122612411118516
21,0,10,30,2,legacy,strong,M4,0.011602422303184761,1.1504927974007755,1.5550064110399229,1.0,0.012173838434908154
21,0,10,30,2,vy,moderate,M1,0.013161355065480797,0.7572099151823974,1.03251932202477,1.0,0.013539774236115163
21,0,10,30,2,vy,moderate,M2,0.013134158098523023,0.7572098277847435,1.0325500496275335,1.0,0.01343087654224774
21,0,10,30,2,vy,moderate,M3,0.0070610178533461925,0.7571081587976071,1.0332082804834006,1.0,0.007310306872971667
21,0,10,30,2,vy,moderate,M4,0.007012535077325364,0.7571082131465992,1.0332321101226278,1.0,0.0073466840528433495
21,0,10,30,2,vy,near_linear,M1,0.006525376406000226,0.37599522967866733,0.5152328860368967,1.0,0.006711388924617487
21,0,10,30,2,vy,near_linear,M2,0.006512919792413304,0.3759952050006928,0.5152483491363884,1.0,0.006655444404625344
21,0,10,30,2,vy,near_linear,M3,0.003387356702635689,0.3759512250746458,0.5156086991836806,1.0,0.00349508357078997
21,0,10,30,2,vy,near_linear,M4,0.0033625457813552043,0.3759512606748212,0.5156205496525228,1.0,0.0035148943294040533
21,0,10,30,2,vy,strong,M1,0.020307378540489692,1.1506964484517568,1.554263961702555,1.0,0.020892197486803158
21,0,10,30,2,vy,strong,M2,0.020259582428481568,1.150696210781376,1.554308720107688,1.0,0.020740410176613353
21,0,10,30,2,vy,strong,M3,0.011697347339076312,1.1504926159330038,1.5550894934680022,1.0,0.012152418545639266
21,0,10,30,2,vy,strong,M4,0.01162931536283962,1.150492669076774,1.5551244780257365,1.0,0.012203149926063467
21,0,18,22,1,beta_noacc,moderate,M1,0.02780309205398376,0.7599868757570913,1.8957970316540629,1.0,0.02811672224883494
21,0,18,22,1,beta_noacc,moderate,M2,0.02777486325640438,0.7599881476955493,1.8961765382763456,1.0,0.028304659629006152
21,0,18,22,1,beta_noacc,moderate,M3,0.02747983160283873,0.7598904297941825,1.89819178552753,1.0,0.02787163610870863
21,0,18,22,1,beta_noacc,moderate,M4,0.027453311302107448,0.759891777031924,1.8985981697960137,1.0,0.028036072091636086
