seed,method,cohort,epsilon,draw,tracking,feasible,rho
86,Isotropic,10,2,6,0.015189640509316137,1.0,0.9699834117230072
86,Isotropic,10,2,7,0.025637622551451023,1.0,0.9663020164336368
86,Isotropic,10,2,8,0.026052501341050197,1.0,0.968203071660227
86,Isotropic,10,2,9,0.03605759815808641,1.0,0.967849217874248
86,Isotropic,10,4,0,0.02081310117585003,1.0,0.965850330113581
86,Isotropic,10,4,1,0.012875059972728777,1.0,0.9686824208187408
86,Isotropic,10,4,2,0.015516817331249448,1.0,0.9663154751421886
86,Isotropic,10,4,3,0.008583587643131437,1.0,0.968880965220438
86,Isotropic,10,4,4,0.018958306433009164,1.0,0.9692702059602618
86,Isotropic,10,4,5,0.021166925543519954,1.0,0.971314195243708
86,Isotropic,10,4,6,0.015123643404792145,1.0,0.9697979520103632
86,Isotropic,10,4,7,0.014849021127069255,1.0,0.9701804359817296
86,Isotropic,10,4,8,0.01539591652078537,1.0,0.9666340857333506
86,Isotropic,10,4,9,0.009527143799167788,1.0,0.968435040364724
86,Isotropic,10,8,0,0.01163336655470657,1.0,0.969899503454932
86,Isotropic,10,8,1,0.010978384611738109,1.0,0.9697796392840968
86,Isotropic,10,8,2,0.011431899600839473,1.0,0.97011189728376
86,Isotropic,10,8,3,0.008469353250887162,1.0,0.9685384384367582
86,Isotropic,10,8,4,0.0148237348219844,1.0,0.9662651577310104
86,Isotropic,10,8,5,0.008228637719129352,1.0,0.9684510511743856
86,Isotropic,10,8,6,0.01628396502192365,1.0,0.9648012874304954
86,Isotropic,10,8,7,0.010697526069341757,1.0,0.9672098229679528
86,Isotropic,10,8,8,0.011282505023744283,1.0,0.9698693859364256
86,Isotropic,10,8,9,0.007927506540248192,1.0,0.96978663737775
86,Isotropic,10,inf,0,0.007725960060575786,1.0,0.968668794243626
86,Isotropic,30,2,0,0.00923406967946781,1.0,0.9699916731286216
86,Isotropic,30,2,1,0.010792869543893175,1.0,0.966858471857956
86,Isotropic,30,2,2,0.012539744324467899,1.0,0.96945217068072
86,Isotropic,30,2,3,0.01119295408388858,1.0,0.9671226045428885
86,Isotropic,30,2,4,0.0111613147779364,1.0,0.9701776950241248
86,Isotropic,30,2,5,0.009757137064924691,1.0,0.9697591114995284
86,Isotropic,30,2,6,0.014421535492498418,1.0,0.9710617497019528
86,Isotropic,30,2,7,0.00922869290548972,1.0,0.9689933871005836
86,Isotropic,30,2,8,0.008511653897922158,1.0,0.9680716202252064
86,Isotropic,30,2,9,0.007478377619299013,1.0,0.9688952107829016
86,Isotropic,30,4,0,0.008781655186083537,1.0,0.9676034692413512
86,Isotropic,30,4,1,0.009292139403331519,1.0,0.9680798814926058
86,Isotropic,30,4,2,0.008821913617664219,1.0,0.9684776254368832
86,Isotropic,30,4,3,0.008081288685807368,1.0,0.9684749246308963
86,Isotropic,30,4,4,0.008831890173820857,1.0,0.9684347564359552
86,Isotropic,30,4,5,0.007653224845475647,1.0,0.969119694238243
86,Isotropic,30,4,6,0.008246568135220192,1.0,0.9680226505379104
86,Isotropic,30,4,7,0.009381603834505616,1.0,0.9695628060725128
86,Isotropic,30,4,8,0.009713815897879022,1.0,0.969613826581298
86,Isotropic,30,4,9,0.007949810972029623,1.0,0.9688766600170426
86,Isotropic,30,8,0,0.007986574815093711,1.0,0.9687683173687418
86,Isotropic,30,8,1,0.008208839492681535,1.0,0.9680896627987332
86,Isotropic,30,8,2,0.007883500330473076,1.0,0.9686374750361992
86,Isotropic,30,8,3,0.008085024552446047,1.0,0.969211676768816
86,Isotropic,30,8,4,0.007632439783833458,1.0,0.968851526409144
86,Isotropic,30,8,5,0.01106172378743607,1.0,0.9684916902305496
86,Isotropic,30,8,6,0.008746095755952808,1.0,0.968135784583939
86,Isotropic,30,8,7,0.009270636835065432,1.0,0.968333085689194
86,Isotropic,30,8,8,0.008112375131275763,1.0,0.9685172675391338
86,Isotropic,30,8,9,0.00886759858907306,1.0,0.968189023663908
86,Isotropic,30,inf,0,0.007823095145369647,1.0,0.9686641925920296
86,Isotropic,100,2,0,0.008142409925108616,1.0,0.9684249215681277
86,Isotropic,100,2,1,0.00780940976202653,1.0,0.968970009501185
86,Isotropic,100,2,2,0.008827656636148502,1.0,0.9677349682219152
86,Isotropic,100,2,3,0.00796498240418907,1.0,0.968912852315241
86,Isotropic,100,2,4,0.008501438475043142,1.0,0.9684285192506602
86,Isotropic,100,2,5,0.008954196003418067,1.0,0.9687338701763626
86,Isotropic,100,2,6,0.007950715200034954,1.0,0.9690283008547524
86,Isotropic,100,2,7,0.008448242378899002,1.0,0.9684153590048754
86,Isotropic,100,2,8,0.007600918952566287,1.0,0.9688844893886012
86,Isotropic,100,2,9,0.008877190928142207,1.0,0.9680202888657804
86,Isotropic,100,4,0,0.007940172670662354,1.0,0.9684748537950908
