seed,severity,scenario,method,tracking,effort,peak_rate,feasible,switches,rho
11,strong,constant_22,LTI_8,0.03558244624182424,0.9595468875625621,2.8839654683791576,1.0,0.0,0.9662642311632343
11,strong,constant_22,LTI_10,0.033648618985573295,0.9590348842114904,2.8824199314986805,1.0,0.0,0.9662934209836377
12,near_linear,all,M4,0.013453907606878554,0.40113672366499126,1.1315737108002133,1.0,0.0,0.9649686690093948
12,near_linear,all,LTI_1,0.015469172564991408,0.4008179144865754,1.1213174747894445,1.0,0.0,0.964256274188029
12,near_linear,all,LTI_2,0.01622438032892011,0.4010702400367145,16.888006694386945,1.0,1.3333333333333333,0.9641610623577564
12,near_linear,all,LTI_3,0.01614149714327521,0.4012565631374351,15.068577598119804,1.0,2.3333333333333335,0.9645930328416291
12,near_linear,all,LTI_5,0.016676443754794622,0.4012828294954558,19.65609740909071,1.0,4.333333333333333,0.9648324240803713
12,near_linear,all,LTI_8,0.014273802639639925,0.40111545092052875,19.82078798425254,1.0,6.666666666666667,0.9648080957949414
12,near_linear,all,LTI_10,0.013843055924907834,0.40112623916586954,7.078514067967994,1.0,8.0,0.9648412361734781
12,near_linear,previous_s_curve,M4,0.01671727943745098,0.4960167066949041,1.1315737108002133,1.0,0.0,0.9649686690093948
12,near_linear,previous_s_curve,LTI_1,0.021470263431468073,0.49507680949608496,1.1213174747894445,1.0,0.0,0.964256274188029
12,near_linear,previous_s_curve,LTI_2,0.022737837193981033,0.4958339659290049,16.888006694386945,1.0,2.0,0.9641610623577564
12,near_linear,previous_s_curve,LTI_3,0.021823603129117804,0.4962562009564087,15.068577598119804,1.0,4.0,0.9645930328416291
12,near_linear,previous_s_curve,LTI_5,0.024878754184259114,0.49652722805096006,19.65609740909071,1.0,7.0,0.9648324240803713
12,near_linear,previous_s_curve,LTI_8,0.017739823499471976,0.4958492881069824,19.82078798425254,1.0,10.0,0.9648080957949414
12,near_linear,previous_s_curve,LTI_10,0.01763308979449773,0.49605750440753266,7.078514067967994,1.0,12.0,0.9648412361734781
12,near_linear,shifted_double_lane,M4,0.01250085293392502,0.38552233107024597,0.949126707690208,1.0,0.0,0.9649686690093948
12,near_linear,shifted_double_lane,LTI_1,0.01406979545422476,0.385730470080235,0.9492707195968912,1.0,0.0,0.964256274188029
12,near_linear,shifted_double_lane,LTI_2,0.015087575871157777,0.38569121175376175,7.54393206540709,1.0,2.0,0.9641610623577564
12,near_linear,shifted_double_lane,LTI_3,0.013727422438371868,0.3853788025953197,14.14385559386788,1.0,3.0,0.9645930328416291
12,near_linear,shifted_double_lane,LTI_5,0.0141536496471959,0.3855028157486379,10.129095347234339,1.0,6.0,0.9648324240803713
12,near_linear,shifted_double_lane,LTI_8,0.013527742568632812,0.3855397723821995,4.669285481894216,1.0,10.0,0.9648080957949414
12,near_linear,shifted_double_lane,LTI_10,0.012949311250227028,0.38552504831207385,3.647578365450722,1.0,12.0,0.9648412361734781
12,near_linear,constant_22,M4,0.011143590449259656,0.3218711332298235,0.983331232262818,1.0,0.0,0.9649686690093948
12,near_linear,constant_22,LTI_1,0.010867458809281394,0.3216464638834064,0.9825489012284925,1.0,0.0,0.964256274188029
12,near_linear,constant_22,LTI_2,0.01084772792162152,0.32168554242737674,0.9826876692005645,1.0,0.0,0.9641610623577564
12,near_linear,constant_22,LTI_3,0.01287346586233595,0.322134685860577,0.9842442067888195,1.0,0.0,0.9645930328416291
12,near_linear,constant_22,LTI_5,0.010996927432928849,0.32181844468676973,0.9831540866114892,1.0,0.0,0.9648324240803713
12,near_linear,constant_22,LTI_8,0.011553841850814981,0.32195729227240444,0.983633710079246,1.0,0.0,0.9648080957949414
12,near_linear,constant_22,LTI_10,0.010946766729998735,0.3217961647780026,0.9830764367389152,1.0,0.0,0.9648412361734781
12,moderate,all,M4,0.028074297887861213,0.8071355436533504,2.282575645013158,1.0,0.0,0.9649686690093948
12,moderate,all,LTI_1,0.03190484949533632,0.806478988436908,2.261512087697121,1.0,0.0,0.964256274188029
12,moderate,all,LTI_2,0.03340631519729367,0.8070042858873068,33.92363364621374,1.0,1.3333333333333333,0.9641610623577564
12,moderate,all,LTI_3,0.03334760340727149,0.8073851700144453,30.32740212967367,1.0,2.3333333333333335,0.9645930328416291
