gamma,low,high,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible,rho
0.5,15,25,near_linear,M1,0.015116325621777893,0.00036356335945073016,0.016812476983652215,0.38991784434889526,1.036307772338874,1.0,0.956836685717512
0.5,15,25,near_linear,M2,0.014642052256720887,0.0002996534763575936,0.015062920055810064,0.3899271358622649,1.0392817898623077,1.0,0.958626570294534
0.5,15,25,near_linear,M3,0.01397508618690054,0.0003288459224978599,0.015277083135912695,0.3898158331830347,1.039337994472715,1.0,0.9586774749597377
0.5,15,25,near_linear,M4,0.01342352067850458,0.00022803901036680423,0.013825736962829904,0.3898274223058367,1.0426789472915017,1.0,0.9601538683087716
0.5,15,25,strong,M1,0.05066665480481257,0.001189217058584477,0.056563215325662164,1.186571973032962,3.128093370478436,1.0,0.956836685717512
0.5,15,25,strong,M2,0.04914560366131786,0.001003288432828186,0.05057031819324388,1.1866037691232871,3.137728166755553,1.0,0.958626570294534
0.5,15,25,strong,M3,0.04738584530966859,0.0010729631388901471,0.05203578565917923,1.186215475596361,3.1373897865345977,1.0,0.9586774749597377
0.5,15,25,strong,M4,0.045674904948366075,0.0007838105217785864,0.04697836244416141,1.1862554664804321,3.1483266989814997,1.0,0.9601538683087716
0.5,18,22,moderate,M1,0.02989672691704659,0.0006663663462692615,0.03292428248657416,0.7884895288679733,2.0837607401536693,1.0,0.951282992220519
0.5,18,22,moderate,M2,0.02890362986054501,0.0005001207801373207,0.029826426660524274,0.7885186750327392,2.090499412562026,1.0,0.9537081418482544
0.5,18,22,moderate,M3,0.029564288304734038,0.0006228986878237997,0.03218305347068802,0.7883861746075455,2.086385870327215,1.0,0.9525263068279592
0.5,18,22,moderate,M4,0.028542009153450204,0.0004292578841991074,0.029427162657444737,0.7884172456504449,2.093493622342126,1.0,0.9546476597947204
0.5,18,22,near_linear,M1,0.014395745382280417,0.0003244280773332729,0.015835737287792605,0.3923322612967276,1.0387692065346388,1.0,0.951282992220519
0.5,18,22,near_linear,M2,0.013907214770034709,0.00024065723544259104,0.014354757050533776,0.3923463785483694,1.0420418693584468,1.0,0.9537081418482544
0.5,18,22,near_linear,M3,0.014227745403702844,0.00030299725119149864,0.015464791061235463,0.39228245230747755,1.0400703945687513,1.0,0.9525263068279592
0.5,18,22,near_linear,M4,0.013723541152196445,0.00020528804936648608,0.014153368529307153,0.3922974914634863,1.0435086039533013,1.0,0.9546476597947204
0.5,18,22,strong,M1,0.048357779166637534,0.0010547474504730562,0.05338784065344352,1.1928119216469075,3.1299530348454967,1.0,0.951282992220519
0.5,18,22,strong,M2,0.04684248055889223,0.0008140069879487236,0.048310988640836244,1.1928593994459478,3.1409036113209146,1.0,0.9537081418482544
0.5,18,22,strong,M3,0.047856704825902346,0.0009877545431086054,0.05226983298267782,1.1926465321142794,3.1339233258140107,1.0,0.9525263068279592
