seed,gamma,low,high,severity,method,tracking,steering_rms,peak_steering_rate,feasible,worst_family,rho
21,1.5,18,22,strong,M3,0.06029528314013876,1.2403206202653951,3.598613311451973,1.0,0.06978573903380446,0.9551318992992632
21,1.5,18,22,strong,M4,0.04606523963857916,1.2406099266784447,3.6475241917110295,1.0,0.04994512707678105,0.9594565043516408
22,0.0,10,30,moderate,M1,0.03640306997343365,0.7663364232055263,2.0953877054072816,1.0,0.037183019172561345,0.9621359900017192
22,0.0,10,30,moderate,M2,0.0363947307511354,0.7663364630448977,2.095455720896139,1.0,0.03719398372306793,0.962092720769983
22,0.0,10,30,moderate,M3,0.02704170014609429,0.7660522365462878,2.105213787442605,1.0,0.027676592366211623,0.9642073858570708
22,0.0,10,30,moderate,M4,0.027027146921723026,0.7660523125473035,2.105301527789994,1.0,0.027737529647777464,0.9641779828368966
22,0.0,10,30,near_linear,M1,0.017692264606368142,0.38107949993503315,1.047756131342053,1.0,0.018069877208888637,0.9621359900017192
22,0.0,10,30,near_linear,M2,0.017688251589024477,0.38107951612631635,1.0477908905114497,1.0,0.01807187919538344,0.962092720769983
22,0.0,10,30,near_linear,M3,0.012940969793117875,0.3809521441591377,1.0527326182778758,1.0,0.013253387396782045,0.9642073858570708
22,0.0,10,30,near_linear,M4,0.012933802327588815,0.38095217672421094,1.0527763706942763,1.0,0.013278491901792661,0.9641779828368966
22,0.0,10,30,strong,M1,0.058475563172451395,1.1602049800741656,3.140547669925864,1.0,0.059711886384987374,0.9621359900017192
22,0.0,10,30,strong,M2,0.05846234198079449,1.1602050726493804,3.1406499980025946,1.0,0.05975813435812838,0.962092720769983
22,0.0,10,30,strong,M3,0.044772808765564186,1.1597004461092213,3.1550799423474967,1.0,0.045759281164483315,0.9642073858570708
22,0.0,10,30,strong,M4,0.044751019140189786,1.159700602218446,3.155207234332982,1.0,0.04588816457605804,0.9641779828368966
22,0.0,15,25,moderate,M1,0.030652356959165777,0.7653684514535363,1.9145946873160975,1.0,0.03128471739836389,0.9550894569346808
22,0.0,15,25,moderate,M2,0.03064158047070228,0.7653685042068052,1.914695404827445,1.0,0.03133486518118414,0.9550295430360024
22,0.0,15,25,moderate,M3,0.028091604415764273,0.7651611007240114,1.9186159815558768,1.0,0.02857439413022067,0.956955956722781
22,0.0,15,25,moderate,M4,0.02807815300507355,0.7651611704214525,1.9187248682969564,1.0,0.028660870921138056,0.9569141253853798
22,0.0,15,25,near_linear,M1,0.014777907591205302,0.3808178705801157,0.9565712141265498,1.0,0.015086372359536497,0.9550894569346808
22,0.0,15,25,near_linear,M2,0.014772588149385167,0.38081789433030233,0.9566203359669726,1.0,0.015107747352780917,0.9550295430360024
22,0.0,15,25,near_linear,M3,0.013472515021868175,0.38071967020408914,0.9585971819196986,1.0,0.013708412894968023,0.956955956722781
22,0.0,15,25,near_linear,M4,0.01346581895929275,0.38071970189385645,0.9586502861445652,1.0,0.013747543521970993,0.9569141253853798
22,0.0,15,25,strong,M1,0.0496463861079449,1.1577942800912469,2.8716954044596097,1.0,0.050640382458722516,0.9550894569346808
22,0.0,15,25,strong,M2,0.04963003899107106,1.1577943805474,2.871447833179315,1.0,0.05074087694616258,0.9550295430360024
22,0.0,15,25,strong,M3,0.04590173716197046,1.1574530827368033,2.87767494439013,1.0,0.04666358339295979,0.956955956722781
22,0.0,15,25,strong,M4,0.04588169183921645,1.1574532115830052,2.877416413798145,1.0,0.04681989512746017,0.9569141253853798
22,0.0,18,22,moderate,M1,0.029055984301006383,0.7704493219268086,1.9133187269020977,1.0,0.029562862946935824,0.949676035308301
