seed,mechanism,cohort,epsilon,draw,tracking,feasible,rho
81,Tight-100,100,8,8,0.007668631639082146,1.0,0.9687146620275372
81,Tight-100,100,8,9,0.0077038895771238125,1.0,0.9687574227076702
81,Tight-100,100,inf,0,0.007708484406040451,1.0,0.9686585615283584
81,Tight-30,30,2,0,0.010814413810104086,1.0,0.9706461646052644
81,Tight-30,30,2,1,0.010471063141168883,1.0,0.9684613400423586
81,Tight-30,30,2,2,0.013033880462832905,1.0,0.9693360750369848
81,Tight-30,30,2,3,0.009289707509390878,1.0,0.968475716195312
81,Tight-30,30,2,4,0.009266938077260907,1.0,0.9687256676532208
81,Tight-30,30,2,5,0.008760086372619233,1.0,0.9692541392827554
81,Tight-30,30,2,6,0.012051726012347025,1.0,0.9671431517197312
81,Tight-30,30,2,7,0.011235766085085985,1.0,0.9699995191160128
81,Tight-30,30,2,8,0.015978020018869478,1.0,0.966819510817208
81,Tight-30,30,2,9,0.013405507311924634,1.0,0.9690086707288816
81,Tight-30,30,4,0,0.00937353495045549,1.0,0.9677668464099844
81,Tight-30,30,4,1,0.0078034256809116085,1.0,0.9688009132837828
81,Tight-30,30,4,2,0.008919083756344393,1.0,0.9689769777394064
81,Tight-30,30,4,3,0.0083802341595121,1.0,0.9681032353772536
81,Tight-30,30,4,4,0.009402102775443472,1.0,0.9681150661078118
81,Tight-30,30,4,5,0.008772640417405598,1.0,0.9680161428483391
81,Tight-30,30,4,6,0.009591733864866774,1.0,0.967750599263611
81,Tight-30,30,4,7,0.00968031376458941,1.0,0.9695342754797548
81,Tight-30,30,4,8,0.010461287912900196,1.0,0.9670218103939676
81,Tight-30,30,4,9,0.008326497699107347,1.0,0.9687159289164292
81,Tight-30,30,8,0,0.008023599882437674,1.0,0.9686443894072578
81,Tight-30,30,8,1,0.008335197815839326,1.0,0.968759886125187
81,Tight-30,30,8,2,0.007805490933721141,1.0,0.9688230550706356
81,Tight-30,30,8,3,0.009104361427468333,1.0,0.9676054663301678
81,Tight-30,30,8,4,0.007670387477864287,1.0,0.9686146295909752
81,Tight-30,30,8,5,0.008375335947749953,1.0,0.9685177756138672
81,Tight-30,30,8,6,0.00901762162053229,1.0,0.9682385352620908
81,Tight-30,30,8,7,0.008523637302642998,1.0,0.9682979096106432
81,Tight-30,30,8,8,0.009639657812186874,1.0,0.9678683495093622
81,Tight-30,30,8,9,0.007637726391749442,1.0,0.9687907134115517
81,Tight-30,30,inf,0,0.007750068339031486,1.0,0.9686572750692178
82,Broad-10,10,2,0,0.3398417124503642,1.0,0.9806825511307786
82,Broad-10,10,2,1,0.32677618727348673,1.0,0.979151584828817
82,Broad-10,10,2,2,0.48508174738453985,1.0,0.9794717734984868
82,Broad-10,10,2,3,0.3892790969011194,1.0,1.001736824904819
82,Broad-10,10,2,4,0.475264097477926,1.0,0.9855452853624556
82,Broad-10,10,2,5,0.28834302078956175,1.0,0.9759444966748873
82,Broad-10,10,2,6,0.15589860708788372,1.0,0.9726102268353808
82,Broad-10,10,2,7,0.08072552792315112,1.0,0.9723259310451996
82,Broad-10,10,2,8,0.22025961874124553,1.0,0.9801052629447676
82,Broad-10,10,2,9,0.1358182848690887,1.0,0.9824352991163692
82,Broad-10,10,4,0,0.19669673683970257,1.0,0.973748611434918
82,Broad-10,10,4,1,0.1433956609922302,1.0,0.9776985986335752
82,Broad-10,10,4,2,0.09735627963781973,1.0,0.973225222965076
82,Broad-10,10,4,3,0.2702869589318698,1.0,0.9726744734128676
82,Broad-10,10,4,4,0.06840714207617953,1.0,0.978805997560458
82,Broad-10,10,4,5,0.05868117244602009,1.0,0.9753648559284605
82,Broad-10,10,4,6,0.15783374961806332,1.0,0.9728469380400536
82,Broad-10,10,4,7,0.10031860356410223,1.0,0.9644406702574668
82,Broad-10,10,4,8,0.19693539737651403,1.0,0.9768471384300224
82,Broad-10,10,4,9,0.04115681974110006,1.0,0.9745409464674656
82,Broad-10,10,8,0,0.10997829528479897,1.0,0.9718663884833098
82,Broad-10,10,8,1,0.11278546850462072,1.0,0.969712564198212
82,Broad-10,10,8,2,0.036036932531111475,1.0,0.9713862651110402
82,Broad-10,10,8,3,0.03244042795879672,1.0,0.968847412210244
82,Broad-10,10,8,4,0.08596528779479976,1.0,0.9734154435841345
82,Broad-10,10,8,5,0.040317369008345,1.0,0.9749329709225596
82,Broad-10,10,8,6,0.08725356118598546,1.0,0.9704468007671998
82,Broad-10,10,8,7,0.03626064643911547,1.0,0.9721886494487082
82,Broad-10,10,8,8,0.08828886012919507,1.0,0.9699295122073898
82,Broad-10,10,8,9,0.038169541139978835,1.0,0.9588663837755028
82,Broad-10,10,inf,0,0.0081403886895891,1.0,0.9681587518133944
82,Tight-10,10,2,0,0.03408801282799971,1.0,0.9693283270606412
82,Tight-10,10,2,1,0.02382059268628856,1.0,0.970054714230818
82,Tight-10,10,2,2,0.019835053277166555,1.0,0.9713737631739728
82,Tight-10,10,2,3,0.030007769137411607,1.0,0.9624589426439548
82,Tight-10,10,2,4,0.02122865479192648,1.0,0.9718694810583838
82,Tight-10,10,2,5,0.014666171383963627,1.0,0.9690150885058184
