seed,phase,point,policy,cohort,condition,mu,epsilon,method,draw,tracking,feasible,rho
96,A,map,biased-low-speed,20,correct,0.9,8,ControlAware,4,0.008391448692208878,1.0,0.9681829188732172
96,A,map,biased-low-speed,20,correct,0.9,8,Isotropic,0,0.008420552869739214,1.0,0.9682231093649764
96,A,map,biased-low-speed,20,correct,0.9,8,Isotropic,1,0.00802518920253232,1.0,0.9685395861801898
96,A,map,biased-low-speed,20,correct,0.9,8,Isotropic,2,0.009081734954742078,1.0,0.9683026496287456
96,A,map,biased-low-speed,20,correct,0.9,8,Isotropic,3,0.009280188376680872,1.0,0.9679431546469948
96,A,map,biased-low-speed,20,correct,0.9,8,Isotropic,4,0.00853322555726221,1.0,0.9681863349620442
96,A,map,biased-low-speed,20,correct,0.9,inf,ControlAware,0,0.008051350210697254,1.0,0.9682764970275788
96,A,map,biased-low-speed,20,correct,0.9,inf,Isotropic,0,0.008051350210697287,1.0,0.9682764970275788
96,A,map,biased-low-speed,30,correct,0.9,2,ControlAware,0,0.014155623182303598,1.0,0.9688467730398778
96,A,map,biased-low-speed,30,correct,0.9,2,ControlAware,1,0.01274873792282998,1.0,0.9678120211415694
96,A,map,biased-low-speed,30,correct,0.9,2,ControlAware,2,0.010299530221552833,1.0,0.9683223190718936
96,A,map,biased-low-speed,30,correct,0.9,2,ControlAware,3,0.011595322585444979,1.0,0.9683218034783126
96,A,map,biased-low-speed,30,correct,0.9,2,ControlAware,4,0.010656838817903164,1.0,0.9673061183267838
96,A,map,biased-low-speed,30,correct,0.9,2,Isotropic,0,0.016157345662731144,1.0,0.9690003400424492
96,A,map,biased-low-speed,30,correct,0.9,2,Isotropic,1,0.01448535825201305,1.0,0.9676138729490724
96,A,map,biased-low-speed,30,correct,0.9,2,Isotropic,2,0.011286757106737462,1.0,0.968418057778661
96,A,map,biased-low-speed,30,correct,0.9,2,Isotropic,3,0.0128278267662897,1.0,0.9683329550380788
96,A,map,biased-low-speed,30,correct,0.9,2,Isotropic,4,0.011600633351303886,1.0,0.9669524074821106
96,A,map,biased-low-speed,30,correct,0.9,4,ControlAware,0,0.0089660324116783,1.0,0.9677838607477798
96,A,map,biased-low-speed,30,correct,0.9,4,ControlAware,1,0.00918049686530155,1.0,0.9672979960475088
96,A,map,biased-low-speed,30,correct,0.9,4,ControlAware,2,0.010679987942140621,1.0,0.9670315719157572
96,A,map,biased-low-speed,30,correct,0.9,4,ControlAware,3,0.010056154433699433,1.0,0.9672845342161508
96,A,map,biased-low-speed,30,correct,0.9,4,ControlAware,4,0.00805656617602895,1.0,0.9688253993647992
96,A,map,biased-low-speed,30,correct,0.9,4,Isotropic,0,0.00919130545483459,1.0,0.9677070141913132
96,A,map,biased-low-speed,30,correct,0.9,4,Isotropic,1,0.009652289776817237,1.0,0.967056534030961
