seed,point,cohort,epsilon,method,draw,tracking,parameter_error,feasible,rho
109,discriminating,20,8,IsotropicDP,9,0.009043132126758672,0.06976186511749104,1.0,0.9680271938145836
109,discriminating,20,8,Local,0,0.006762236370563127,0.020630560729548088,1.0,0.968492190020559
109,shared-viable,50,4,ControlAwareDP,0,0.00821685154335758,0.1039545480770494,1.0,0.9678225792071204
109,shared-viable,50,4,ControlAwareDP,1,0.008375030565006974,0.11199645610225155,1.0,0.9688327223605678
109,shared-viable,50,4,ControlAwareDP,2,0.00825227666162939,0.10481110617948725,1.0,0.9677175336431788
109,shared-viable,50,4,ControlAwareDP,3,0.008483694847099968,0.1203478275502628,1.0,0.9674917973529734
109,shared-viable,50,4,ControlAwareDP,4,0.009422322316255451,0.15003173806460413,1.0,0.968529439518
109,shared-viable,50,4,ControlAwareDP,5,0.008244781748111807,0.05820298146493379,1.0,0.967735136401752
109,shared-viable,50,4,ControlAwareDP,6,0.008200238919760156,0.12867265111640286,1.0,0.9683738401638684
109,shared-viable,50,4,ControlAwareDP,7,0.008384874372133073,0.12515684542720973,1.0,0.9680475448717628
109,shared-viable,50,4,ControlAwareDP,8,0.008425067812867334,0.11595140422659699,1.0,0.9681353881335656
109,shared-viable,50,4,ControlAwareDP,9,0.008188255478138888,0.08384982089756482,1.0,0.9680425987173654
109,shared-viable,50,4,FamilyNonPrivate,0,0.008074103281139843,0.050281915652273024,1.0,0.9681712781556632
109,shared-viable,50,4,IsotropicDP,0,0.008357975726643735,0.06097463169677615,1.0,0.9677168718744578
109,shared-viable,50,4,IsotropicDP,1,0.008538074288843915,0.06932854964328611,1.0,0.968976081788463
109,shared-viable,50,4,IsotropicDP,2,0.008285805335578976,0.06033318239564405,1.0,0.967590277584644
109,shared-viable,50,4,IsotropicDP,3,0.008724679219349135,0.06561520365860508,1.0,0.9673545443636722
109,shared-viable,50,4,IsotropicDP,4,0.009893082594342578,0.07643325631759283,1.0,0.9686416903417756
109,shared-viable,50,4,IsotropicDP,5,0.00835059723676401,0.05253968332642563,1.0,0.9676381503212562
109,shared-viable,50,4,IsotropicDP,6,0.008300862190471964,0.06093914270623809,1.0,0.9684384942270626
109,shared-viable,50,4,IsotropicDP,7,0.008364152286387693,0.05902623640626852,1.0,0.967984151196568
109,shared-viable,50,4,IsotropicDP,8,0.008567109114209786,0.05738681860875606,1.0,0.9681558742787996
109,shared-viable,50,4,IsotropicDP,9,0.008231587724246755,0.053235593359811054,1.0,0.9679808054038388
109,shared-viable,50,4,Local,0,0.006762236370563127,0.020630560729548088,1.0,0.968492190020559
110,discriminating,20,8,ControlAwareDP,0,0.007840000280776143,0.09950617844268105,1.0,0.9683717758201624
110,discriminating,20,8,ControlAwareDP,1,0.009008079531358727,0.16469737609593382,1.0,0.9688818901543456
110,discriminating,20,8,ControlAwareDP,2,0.00832514965570493,0.08400101854151286,1.0,0.9692443938667948
110,discriminating,20,8,ControlAwareDP,3,0.008385198058354323,0.1622409074500974,1.0,0.9688242948878016
110,discriminating,20,8,ControlAwareDP,4,0.008606901961527006,0.07730920212504228,1.0,0.9688973771489726
110,discriminating,20,8,ControlAwareDP,5,0.007938111942270235,0.15782499210365453,1.0,0.9685196757036952
110,discriminating,20,8,ControlAwareDP,6,0.007947603988837612,0.20166280313971607,1.0,0.9684362689385568
110,discriminating,20,8,ControlAwareDP,7,0.008339927030855853,0.12035181606666306,1.0,0.9690025196109008
110,discriminating,20,8,ControlAwareDP,8,0.008203214634062417,0.12289944291343993,1.0,0.9687247047805096
