seed,budget,method,tracking,feasible
185,0.5,LearnedRank2,0.017118911531266087,1.0
185,0.5,Local,0.018034687173319654,1.0
185,0.5,OracleGroupRank2,0.01639509964605521,1.0
185,0.75,ExactIndividual,0.00673145930284449,1.0
185,0.75,LearnedBackbone,0.009729748538538276,1.0
185,0.75,LearnedRank1,0.009560249125082299,1.0
185,0.75,LearnedRank2,0.012280363134111972,1.0
185,0.75,Local,0.01293081747116265,1.0
185,0.75,OracleGroupRank2,0.012229588303465575,1.0
185,1.25,ExactIndividual,0.00673145930284449,1.0
185,1.25,LearnedBackbone,0.007659215862402623,1.0
185,1.25,LearnedRank1,0.007369484039065926,1.0
185,1.25,LearnedRank2,0.0071467127865090805,1.0
185,1.25,Local,0.007147340943232619,1.0
185,1.25,OracleGroupRank2,0.0071297661913953285,1.0
185,1.75,ExactIndividual,0.00673145930284449,1.0
185,1.75,LearnedBackbone,0.00741700972308748,1.0
185,1.75,LearnedRank1,0.007295784946568049,1.0
185,1.75,LearnedRank2,0.0072019904304695005,1.0
185,1.75,Local,0.007182429044123145,1.0
185,1.75,OracleGroupRank2,0.007172558498206565,1.0
185,2.75,ExactIndividual,0.00673145930284449,1.0
185,2.75,LearnedBackbone,0.0073855274777911255,1.0
185,2.75,LearnedRank1,0.006774126725832984,1.0
185,2.75,LearnedRank2,0.006732803978945759,1.0
185,2.75,Local,0.006736100782192659,1.0
185,2.75,OracleGroupRank2,0.0067365278237914005,1.0
185,4.75,ExactIndividual,0.00673145930284449,1.0
185,4.75,LearnedBackbone,0.0073855274777911255,1.0
185,4.75,LearnedRank1,0.006723442456217696,1.0
185,4.75,LearnedRank2,0.006712154143564867,1.0
185,4.75,Local,0.0067176829612699785,1.0
185,4.75,OracleGroupRank2,0.00671114945400711,1.0
