severity,method,client,family,tracking_rmse_deg_s,beta_rms_deg,steering_rms_deg,peak_steering_deg,peak_steering_rate_deg_s,peak_lateral_accel_mps2,peak_force_utilization,finite,feasible
moderate,M1,nominal_03,nominal,0.03627996062495641,0.34068637869862883,0.960871251779732,2.175114808982123,1.9415837290069682,3.127060680068041,0.3607912717030703,True,True
moderate,M1,nominal_04,nominal,0.03611308405055424,0.3468841227561483,0.9545537188295028,2.163368061482844,1.9315536437105216,3.12519020660397,0.3606078832214189,True,True
moderate,M1,nominal_05,nominal,0.03554449882554002,0.3204627300910288,0.9832957400125318,2.2151471574508417,1.9749048339111905,3.137882478871018,0.3613419059738728,True,True
moderate,M1,nominal_06,nominal,0.036452402724579815,0.3737763322852469,0.9329309207497694,2.1234624881071955,1.8976430844306504,3.115879366996408,0.35976886623140725,True,True
moderate,M1,nominal_07,nominal,0.03735553264122745,0.3583618107718272,0.9161635536512214,2.0926787886362024,1.8725880082290676,3.1204123131122055,0.3605013476979618,True,True
moderate,M1,nominal_08,nominal,0.03551516397380967,0.3206699004464363,0.966402531597628,2.18430886310211,1.9491974357282231,3.136879505575966,0.3614765027197815,True,True
moderate,M1,nominal_09,nominal,0.0369169475520209,0.35781268555908885,0.915903179467281,2.0918213877925407,1.8715531602105,3.121756429319849,0.3605101018654221,True,True
moderate,M1,heavy_00,heavy,0.044515338157356935,0.4680870085963318,0.9062354379142388,2.078803530703707,1.862750904221548,3.069159582032647,0.3564824090358424,True,True
moderate,M1,heavy_01,heavy,0.0402194484171703,0.4367838958561852,0.9542180857181022,2.166573010449788,1.9344546376549474,3.0828950424151556,0.3572742070679796,True,True
moderate,M1,heavy_02,heavy,0.040713305591596353,0.4090981669330256,0.9333243976252277,2.127683517871187,1.903135699369339,3.0932442604411543,0.3585356039359657,True,True
moderate,M1,heavy_03,heavy,0.043998606186572094,0.4649134645908102,0.9276068539365233,2.119317267335242,1.8967613028529517,3.0677268107712723,0.35646954426964594,True,True
moderate,M1,heavy_04,heavy,0.044083342834201955,0.45941154865905837,0.8980256719541985,2.0627673540031326,1.8490120919457473,3.0745556992509906,0.35686860116996355,True,True
moderate,M1,heavy_05,heavy,0.03976041057573193,0.41815624918010214,0.932513422411141,2.125336777536907,1.9001112107853229,3.0926089371032184,0.3581482299173136,True,True
moderate,M1,heavy_06,heavy,0.04011530633547958,0.4449162084250392,0.9757351514725985,2.2067630904068505,1.9676362437296537,3.078576246048182,0.3567884618603186,True,True
moderate,M1,heavy_07,heavy,0.041793445037821744,0.4562838660012197,0.9706028944407352,2.1986367630089574,1.961676679900095,3.0709043790916546,0.35644020338162236,True,True
