phase,point,policy,cohort,condition,mu,epsilon,method,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct,viable
A,map,random,20,correct,0.9,8,ControlAware,0.00837267014048939,0.0007053023395191256,0.009637052301623811,1.0,0.9695804924857634,0.00768166793067456,8.995470984309396,True
A,map,random,20,correct,0.9,8,Isotropic,0.0086435488628164,0.0009178586115808976,0.010293499661636524,1.0,0.9697547869312404,0.007681667930674566,12.52177184463854,False
A,map,random,20,correct,0.9,inf,ControlAware,0.00768166793067456,0.00020360625362722299,0.008008419733008913,1.0,0.9688296343543228,0.00768166793067456,0.0,False
A,map,random,20,correct,0.9,inf,Isotropic,0.007681667930674566,0.00020360625362721512,0.008008419733008912,1.0,0.9688296343543228,0.007681667930674566,0.0,False
A,map,random,30,correct,0.9,2,ControlAware,0.010808138874177708,0.002124155334750235,0.014394541623551521,1.0,0.9712424618328706,0.0077033439265744765,40.30450901838252,False
A,map,random,30,correct,0.9,2,Isotropic,0.01186108765071707,0.002701086464722378,0.01674128341355889,1.0,0.9716994635260748,0.0077033439265744765,53.97323245298045,False
A,map,random,30,correct,0.9,4,ControlAware,0.00881553655297874,0.0010535496373949745,0.01086283438607369,1.0,0.9706134903273552,0.0077033439265744765,14.43779009486381,False
A,map,random,30,correct,0.9,4,Isotropic,0.009252168118425512,0.001360738158054344,0.011809229359340936,1.0,0.9709253783720144,0.0077033439265744765,20.105868394477454,False
A,map,random,30,correct,0.9,8,ControlAware,0.007976578563944873,0.0005199932810539636,0.0091114431563745,1.0,0.9692726443529676,0.0077033439265744765,3.5469614231789626,True
A,map,random,30,correct,0.9,8,Isotropic,0.008091749012849292,0.0006645729836017449,0.00959139767429419,1.0,0.9693646012092976,0.0077033439265744765,5.042032265168905,True
A,map,random,30,correct,0.9,inf,ControlAware,0.0077033439265744765,0.00017616710546451502,0.007993403689865041,1.0,0.9688634361214684,0.0077033439265744765,0.0,False
A,map,random,30,correct,0.9,inf,Isotropic,0.0077033439265744765,0.00017616710546451502,0.007993403689865041,1.0,0.9688634361214684,0.0077033439265744765,0.0,False
A,map,random,50,correct,0.9,2,ControlAware,0.008813250168692882,0.0011181863977936933,0.011163881915395281,1.0,0.9694451953682623,0.007697941769779617,14.48839744789594,False
A,map,random,50,correct,0.9,2,Isotropic,0.009267511222870159,0.001485669573341839,0.012445256472956759,1.0,0.9697222371925018,0.007697941769779612,20.389469029920736,False
A,map,random,50,correct,0.9,4,ControlAware,0.008055845864421143,0.00040928836930874743,0.008702323930514462,1.0,0.9692034136409,0.007697941769779617,4.649347908119772,True
A,map,random,50,correct,0.9,4,Isotropic,0.008194085168074421,0.000503469831560251,0.008998201514376553,1.0,0.9693041835239548,0.007697941769779612,6.445143560874356,True
A,map,random,50,correct,0.9,8,ControlAware,0.007825858559290905,0.000275792927884146,0.008268304622762783,1.0,0.9690254600828954,0.007697941769779617,1.661701183730191,True
A,map,random,50,correct,0.9,8,Isotropic,0.007883964295959856,0.00032304223664697995,0.008411122112671105,1.0,0.9691054381272566,0.007697941769779612,2.4165229062984794,True
A,map,random,50,correct,0.9,inf,ControlAware,0.007697941769779617,0.0002144726606919137,0.007978750414906663,1.0,0.9688593640596852,0.007697941769779617,0.0,False
A,map,random,50,correct,0.9,inf,Isotropic,0.007697941769779612,0.00021447266069190703,0.007978750414906652,1.0,0.9688593640596852,0.007697941769779612,0.0,False
A,map,random,100,correct,0.9,2,ControlAware,0.008008648869680512,0.00038439627612479746,0.008741825530353483,1.0,0.9693173717636006,0.007686013592935076,4.197693288520843,True
A,map,random,100,correct,0.9,2,Isotropic,0.008139648655320242,0.0004963258123458373,0.009137611493808477,1.0,0.969369430013449,0.00768601359293508,5.902085091316245,True
A,map,random,100,correct,0.9,4,ControlAware,0.007691051132945517,0.0001870872670644808,0.007999624095396679,1.0,0.9691116738286786,0.007686013592935076,0.06554164847003552,True
A,map,random,100,correct,0.9,4,Isotropic,0.007712942694579303,0.00021194283322276827,0.008048844477721513,1.0,0.9691388356459923,0.00768601359293508,0.35036500155265493,True
A,map,random,100,correct,0.9,8,ControlAware,0.007712443280257224,0.0002092733237911071,0.008031441383571496,1.0,0.969060727489373,0.007686013592935076,0.34386729873132627,True
A,map,random,100,correct,0.9,8,Isotropic,0.007724105495625743,0.00021926940262229351,0.00806135039158747,1.0,0.9691075018541772,0.00768601359293508,0.4956002514187263,True
A,map,random,100,correct,0.9,inf,ControlAware,0.007686013592935076,0.00018498955155130936,0.007946199646636513,1.0,0.9688682847530836,0.007686013592935076,0.0,False
A,map,random,100,correct,0.9,inf,Isotropic,0.00768601359293508,0.0001849895515513073,0.00794619964663652,1.0,0.9688682847530836,0.00768601359293508,0.0,False
B,boundary,balanced,30,correct,0.7,4,ControlAware,0.009203035279001993,0.0010114891620076705,0.011225859414479056,1.0,0.9704851035672244,0.008062380512744383,14.14786568873241,False
B,boundary,balanced,30,correct,0.7,4,Isotropic,0.009653797747267472,0.0013382855625746464,0.012203669507382397,1.0,0.9708054157880596,0.008062380512744381,19.738800866660956,False
B,boundary,balanced,30,correct,0.7,inf,ControlAware,0.008062380512744383,0.00016391238149874885,0.008285218621987615,1.0,0.968799865723032,0.008062380512744383,0.0,False
B,boundary,balanced,30,correct,0.7,inf,Isotropic,0.008062380512744381,0.000163912381498745,0.008285218621987604,1.0,0.968799865723032,0.008062380512744381,0.0,False
B,boundary,balanced,30,correct,0.9,4,ControlAware,0.008834420252484161,0.0009847578500481885,0.010831988212007681,1.0,0.9704851035672244,0.007728479875368463,14.309934100242083,False
B,boundary,balanced,30,correct,0.9,4,Isotropic,0.00927347035237979,0.0012988562936887718,0.011786194630763951,1.0,0.9708054157880596,0.007728479875368463,19.990871451129543,False
B,boundary,balanced,30,correct,0.9,inf,ControlAware,0.007728479875368463,0.00016486589109197626,0.007942482962301888,1.0,0.968799865723032,0.007728479875368463,0.0,False
B,boundary,balanced,30,correct,0.9,inf,Isotropic,0.007728479875368463,0.00016486589109197344,0.007942482962301881,1.0,0.968799865723032,0.007728479875368463,0.0,False
B,boundary,balanced,30,narrow-10pct,0.7,4,ControlAware,0.00900412774514625,0.000865470203281696,0.010786725213883894,1.0,0.9703295006837922,0.008062380512744383,11.680758938544589,False
B,boundary,balanced,30,narrow-10pct,0.7,4,Isotropic,0.009386114053694989,0.0011452504866107046,0.011629497397921424,1.0,0.9706273864250302,0.00806238051274438,16.418643834264035,False
B,boundary,balanced,30,narrow-10pct,0.7,inf,ControlAware,0.008062380512744383,0.00016391238149874918,0.008285218621987615,1.0,0.968799865723032,0.008062380512744383,0.0,False
B,boundary,balanced,30,narrow-10pct,0.7,inf,Isotropic,0.00806238051274438,0.00016391238149874576,0.0082852186219876,1.0,0.968799865723032,0.00806238051274438,0.0,False
B,boundary,balanced,30,narrow-10pct,0.9,4,ControlAware,0.008641435279253557,0.0008445548400227496,0.010403150606246135,1.0,0.9703295006837922,0.007728479875368464,11.812871594513496,False
B,boundary,balanced,30,narrow-10pct,0.9,4,Isotropic,0.00901344276271775,0.001113042939856339,0.011226089081721614,1.0,0.9706273864250302,0.007728479875368462,16.62633413130323,False
B,boundary,balanced,30,narrow-10pct,0.9,inf,ControlAware,0.007728479875368464,0.00016486589109197648,0.007942482962301888,1.0,0.968799865723032,0.007728479875368464,0.0,False
B,boundary,balanced,30,narrow-10pct,0.9,inf,Isotropic,0.007728479875368462,0.00016486589109197429,0.007942482962301881,1.0,0.968799865723032,0.007728479875368462,0.0,False
B,boundary,balanced,30,outliers-10pct,0.7,4,ControlAware,0.009498665697304894,0.0015872407385741983,0.012443445785359305,1.0,0.970965635400191,0.008583084522962555,10.667274356821977,False
B,boundary,balanced,30,outliers-10pct,0.7,4,Isotropic,0.009858236887413078,0.0019139333917115966,0.01329008730178973,1.0,0.9712572638308066,0.008583084522962551,14.85657470853372,False
B,boundary,balanced,30,outliers-10pct,0.7,inf,ControlAware,0.008583084522962555,0.0003941775770789746,0.009128576085445988,1.0,0.9694704574053816,0.008583084522962555,0.0,False
B,boundary,balanced,30,outliers-10pct,0.7,inf,Isotropic,0.008583084522962551,0.0003941775770789742,0.009128576085445988,1.0,0.9694704574053816,0.008583084522962551,0.0,False
B,boundary,balanced,30,outliers-10pct,0.9,4,ControlAware,0.009028806555003628,0.0015164639871229257,0.011846188745138231,1.0,0.970965635400191,0.008121521518947494,11.171367753436833,False
B,boundary,balanced,30,outliers-10pct,0.9,4,Isotropic,0.009382793161856605,0.0018328691538841402,0.01266388737751805,1.0,0.9712572638308066,0.008121521518947492,15.529992009090531,False
B,boundary,balanced,30,outliers-10pct,0.9,inf,ControlAware,0.008121521518947494,0.0003737807694179579,0.008641808977677815,1.0,0.9694704574053816,0.008121521518947494,0.0,False
B,boundary,balanced,30,outliers-10pct,0.9,inf,Isotropic,0.008121521518947492,0.0003737807694179562,0.008641808977677815,1.0,0.9694704574053816,0.008121521518947492,0.0,False
B,boundary,balanced,30,outliers-5pct,0.7,4,ControlAware,0.009089982107054436,0.001327686138306419,0.011475012699747805,1.0,0.9708072253934638,0.008042788582356096,13.020279147901825,False
