case,client,speed,rho,error_a,error_b,k_beta,k_yaw,k_integral,prefilter
nonlinear_all_original,handling_00,23.700000000000003,0.9504070982446685,0.06630118987628245,0.567769912420588,1.3644414854273663,1.2025668498698066,6.325713153992886,1.2890563613675103
nonlinear_all_original,handling_00,23.8,0.9506300602604745,0.0661670184968773,0.5721699175123478,1.3739012536838457,1.2076678305931094,6.329820147109996,1.292121512413544
nonlinear_all_original,handling_00,23.9,0.9508511700619969,0.066032295761285,0.5765468935176606,1.3833610219403254,1.2127688113164121,6.333927140227106,1.2951866634595774
nonlinear_all_original,handling_00,24.0,0.9510704513228019,0.0658971101035389,0.5809009461160888,1.3928207901968053,1.217869792039715,6.338034133344215,1.298251814505611
nonlinear_all_original,handling_00,24.1,0.9513756609016021,0.06576154793064687,0.5852321825421677,1.4097685812999858,1.2257382496328428,6.3411719824536625,1.302806929603844
nonlinear_all_original,handling_00,24.200000000000003,0.9516771287764396,0.06562569365191877,0.5895407114732704,1.4267163724031664,1.2336067072259707,6.344309831563111,1.307362044702077
nonlinear_all_original,handling_00,24.3,0.9519749358919152,0.06548962970834464,0.5938266429228097,1.4436641635063465,1.2414751648190983,6.347447680672558,1.3119171598003099
nonlinear_all_original,handling_00,24.4,0.9522691605126679,0.06535343660195092,0.5980900881385344,1.4606119546095264,1.2493436224122259,6.350585529782006,1.3164722748985427
nonlinear_all_original,handling_00,24.5,0.9525598783453567,0.0652171929250727,0.6023311595056497,1.477559745712707,1.257212080005354,6.353723378891454,1.3210273899967755
nonlinear_all_original,handling_00,24.6,0.9528471626535852,0.06508097538948342,0.60654997045454,1.4945075368158878,1.2650805375984817,6.356861228000902,1.3255825050950085
nonlinear_all_original,handling_00,24.700000000000003,0.9531310843662594,0.06494485885533378,0.6107466353728691,1.5114553279190683,1.2729489951916095,6.359999077110349,1.3301376201932416
nonlinear_all_original,handling_00,24.8,0.9534117121798261,0.06480891635985533,0.614921269521839,1.5284031190222482,1.2808174527847371,6.363136926219798,1.3346927352914744
nonlinear_all_original,handling_00,24.9,0.9536891126548193,0.06467321914579117,0.6190739889564199,1.5453509101254284,1.2886859103778647,6.366274775329245,1.3392478503897072
nonlinear_all_original,handling_00,25.0,0.9539633503070841,0.0645378366895194,0.623204910449352,1.562298701228609,1.2965543679709925,6.369412624438693,1.3438029654879402
nonlinear_all_original,handling_00,25.1,0.9542344876940535,0.06440283672884371,0.6273141514187491,1.5792464923317895,1.3044228255641204,6.372550473548141,1.3483580805861732
nonlinear_all_original,handling_00,25.200000000000003,0.9545025854963709,0.06426828529042343,0.6314018298591292,1.59619428343497,1.3122912831572482,6.375688322657588,1.352913195684406
nonlinear_all_original,handling_00,25.3,0.9547677025951938,0.0641342467168255,0.635468064275714,1.6131420745381502,1.3201597407503758,6.378826171767036,1.3574683107826389
nonlinear_all_original,handling_00,25.4,0.9550298961454412,0.06400078369317999,0.639512973621847,1.63008986564133,1.3280281983435034,6.381964020876484,1.3620234258808717
