seed,regime,kind,method,models,tracking,worst_client,parameter_error,feasible,rho
133,baseline,discrete,Local,30,0.006733843268312898,0.0072380122021986,0.020885478273404513,1.0,0.9690432430277146
133,baseline,discrete,OracleFamily,3,0.0073696565956194605,0.010802003956682535,0.04530194033511943,1.0,0.9686817739710484
133,baseline,discrete,OraclePartition,3,0.0073696565956194605,0.010802003956682535,0.04530194033511943,1.0,0.9686817739710484
133,continuous,continuous,Global,1,0.00926015130068101,0.0168108084565736,0.07958309492318738,1.0,0.9653061063323644
133,continuous,continuous,LearnedK,2,0.007542269961673211,0.011434111770727234,0.043485981443185,1.0,0.9663637958554498
133,continuous,continuous,Local,30,0.006851409258171833,0.007157342230011633,0.01812019828167868,1.0,0.9674751778898092
133,continuous,continuous,OraclePartition,2,0.0076250549843788,0.0123034126932754,0.044015528134295316,1.0,0.9661921269731896
133,high-noise,discrete,Global,1,0.011633000864610325,0.01987826550459833,0.12251240806740413,1.0,0.9667375760557618
133,high-noise,discrete,LearnedK,2,0.010474835691330474,0.020421365304128598,0.10111690266741853,1.0,0.9681399905045333
133,high-noise,discrete,Local,30,0.006971857976007772,0.010769184425799433,0.10097435925532283,1.0,0.968948875010096
133,high-noise,discrete,OracleFamily,3,0.0077364080120539734,0.010984867887219333,0.05555914470052908,1.0,0.968295122764852
133,high-noise,discrete,OraclePartition,3,0.0077364080120539734,0.010984867887219333,0.05555914470052908,1.0,0.968295122764852
133,short-data,discrete,Global,1,0.01192817113109719,0.0199315617695178,0.13095821121991313,1.0,0.9670333147189978
133,short-data,discrete,LearnedK,4,0.014489278815037797,0.027011490909105765,0.21807482940905937,1.0,0.9686640650876276
133,short-data,discrete,Local,30,0.013966798880725976,0.03456488343033693,0.2159408818783856,1.0,0.9694065430268388
133,short-data,discrete,OracleFamily,3,0.007569061160686391,0.0103360930033174,0.05998400515942803,1.0,0.9682724091989116
133,short-data,discrete,OraclePartition,3,0.007571772885053655,0.010297123035799967,0.06030970110348689,1.0,0.9682667588412892
133,unbalanced,discrete,Global,1,0.00998600638208071,0.017914118700162098,0.10628740835714494,1.0,0.9670719799535168
133,unbalanced,discrete,LearnedK,3,0.007745373622174714,0.010581848996260967,0.04921845640141506,1.0,0.9680503062235198
133,unbalanced,discrete,Local,30,0.006599712046536214,0.007093199369918833,0.024130847906039796,1.0,0.968799123517992
133,unbalanced,discrete,OracleFamily,3,0.007745373622174714,0.010581848996260967,0.04921845640141506,1.0,0.9680503062235198
133,unbalanced,discrete,OraclePartition,3,0.007745373622174714,0.010581848996260967,0.04921845640141506,1.0,0.9680503062235198
134,baseline,discrete,Global,1,0.012095225946633972,0.018321494574392767,0.13127018932196707,1.0,0.967048291284269
134,baseline,discrete,LearnedK,3,0.007643811753190708,0.010907689550128634,0.04773047794687743,1.0,0.9685455833623642
134,baseline,discrete,Local,30,0.006665047721785737,0.007468692287068133,0.021230872567667616,1.0,0.969220407821553
134,baseline,discrete,OracleFamily,3,0.007633316043915414,0.010907689550128634,0.04768202990270258,1.0,0.9685560287903804
134,baseline,discrete,OraclePartition,3,0.007633316043915414,0.010907689550128634,0.04768202990270258,1.0,0.9685560287903804
134,continuous,continuous,Global,1,0.00918764755052898,0.0144810784600886,0.07831315856749528,1.0,0.965283265686575
134,continuous,continuous,LearnedK,2,0.007775448249169153,0.009495205138025233,0.04445907150764667,1.0,0.9663196195732258
134,continuous,continuous,Local,30,0.00683574162210648,0.007390525419917767,0.02656048512728583,1.0,0.9669034163729704
134,continuous,continuous,OraclePartition,2,0.00782846866371564,0.0101728508373168,0.043233815747252345,1.0,0.966166784055329
134,high-noise,discrete,Global,1,0.011964295622837226,0.019067383114632002,0.12970373323134984,1.0,0.9673632511826006
134,high-noise,discrete,LearnedK,2,0.009317266167899609,0.017293645430036034,0.09546684632954891,1.0,0.9687377484891252
134,high-noise,discrete,Local,30,0.007152105909237652,0.0092669726274579,0.09641928404698602,1.0,0.9693306253805688
134,high-noise,discrete,OracleFamily,3,0.007406782622729974,0.010495239025864031,0.05188041019723317,1.0,0.9689155078040784
134,high-noise,discrete,OraclePartition,3,0.007406782622729974,0.010495239025864031,0.05188041019723317,1.0,0.9689155078040784
134,short-data,discrete,Global,1,0.01092082282695938,0.022292862041570532,0.12135091958184964,1.0,0.9670396138924102
