gamma,low,high,time_scale,plant,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible
0,10,30,2,vy,moderate,M1,0.013560546197758348,0.00043155089659888666,0.014046468486200591,0.7654064693915571,1.0538273936833689,1.0
0,10,30,2,vy,moderate,M2,0.013562175240793797,0.0004348720551057793,0.014139728453634487,0.765406316548608,1.0538479300184438,1.0
0,10,30,2,vy,moderate,M3,0.007350313727516634,0.00023013008381653379,0.007811987980687415,0.7653025194969519,1.054550834749524,1.0
0,10,30,2,vy,moderate,M4,0.007365194229414641,0.0002318208713556454,0.007801566431084758,0.7653024569596165,1.0545714564288202,1.0
0,10,30,2,vy,near_linear,M1,0.006718797920744317,0.00020986467057417503,0.006953591072229276,0.37999514264327344,0.525689117434346,1.0
0,10,30,2,vy,near_linear,M2,0.006719787303460872,0.00021135389494242408,0.007000034165067295,0.3799950881463999,0.5257008319807526,1.0
0,10,30,2,vy,near_linear,M3,0.0035304142466882,0.00011923596046020714,0.003760442443346738,0.37995020557930576,0.5260818533326214,1.0
0,10,30,2,vy,near_linear,M4,0.003537479321249191,0.00012027478500314766,0.0037538515214285036,0.3799501894050484,0.5260935041719214,1.0
0,10,30,2,vy,strong,M1,0.020948667682264742,0.0006859321298191614,0.021728536077297203,1.163570923337225,1.5873257260998217,1.0
0,10,30,2,vy,strong,M2,0.02095009215600178,0.0006919768786892665,0.021870727561252985,1.1635705388727047,1.5873469568217844,1.0
0,10,30,2,vy,strong,M3,0.012146516928872756,0.0003312506902682198,0.012839402541006715,1.1633623679487186,1.5882102342661455,1.0
0,10,30,2,vy,strong,M4,0.012170761726229516,0.00033295749719599536,0.012831072993168564,1.1633621698883476,1.588233332791586,1.0
0,18,22,1,beta_noacc,moderate,M1,0.028450343139387584,0.0004839898533817985,0.028948720328182853,0.7675127513020044,1.9536309212608616,1.0
0,18,22,1,beta_noacc,moderate,M2,0.028469114132246037,0.0004846743347854157,0.029090531186979608,0.7675134106573903,1.9540796182699356,1.0
0,18,22,1,beta_noacc,moderate,M3,0.028083143665093645,0.0004095096265016212,0.02853738591292567,0.7674145000397582,1.956145575099807,1.0
0,18,22,1,beta_noacc,moderate,M4,0.02810335552353712,0.0004110801529410661,0.028640967417979852,0.7674152117501046,1.9566082274246013,1.0
0,18,22,1,beta_noacc,near_linear,M1,0.013687096552750563,0.0002327141047106288,0.01393144403564329,0.38202190368747263,0.9772826056639216,1.0
0,18,22,1,beta_noacc,near_linear,M2,0.013696503862430423,0.00023307313247625716,0.013997959651012134,0.38202224060514606,0.9774937803761296,1.0
0,18,22,1,beta_noacc,near_linear,M3,0.013501145443105067,0.00019547914338223727,0.013723510174711998,0.3819745084684666,0.9785417261227888,1.0
0,18,22,1,beta_noacc,near_linear,M4,0.013511251047498039,0.00019634849280124921,0.013770670259781626,0.3819748704597725,0.9787598733379332,1.0
0,18,22,1,beta_noacc,strong,M1,0.046119368914306985,0.0007891188708112325,0.046895795796380965,1.1603721228258852,2.91353425916666,1.0
0,18,22,1,beta_noacc,strong,M2,0.04614742936223236,0.0007899869855372525,0.04714083089544161,1.1603730752401802,2.914259565219673,1.0
0,18,22,1,beta_noacc,strong,M3,0.04556861207449143,0.000677951797915064,0.04627915057649834,1.1602151893543706,2.9173496280969218,1.0
0,18,22,1,beta_noacc,strong,M4,0.04559893680683707,0.0006797503790439664,0.04646847882181614,1.1602162263877778,2.9180957831052283,1.0
0,18,22,1,legacy,moderate,M1,0.02845027592823541,0.00048408468830673823,0.02894873568785696,0.767512871500806,1.953457163884993,1.0
0,18,22,1,legacy,moderate,M2,0.028469046634069524,0.0004847688027032441,0.029090580074313994,0.7675135307635435,1.953905983450301,1.0
